year_date,Time,Second number,Second,Date,Gravity.x,Gravity.y,Gravity.z,Acceleration.x,Acceleration.y,Acceleration.z,RotationRate.x,RotationRate.y,RotationRate.z,Attitude.roll,Attitude.pitch,Attitude.yaw
2020/9/17,35:06.2,1.60031E+12,2433.223,2020-09-17 11:35:06.183043+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310106183,0.240280077,0.460983008,-0.854260027,-0.181608394,-0.009379327,-0.25144577,-0.193512857,0.014848771,2.068321228,0.274188546,-0.479102624,-0.926783141
2020/9/17,35:07.2,1.60031E+12,2434.217,2020-09-17 11:35:07.177077+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310107177,0.363052845,0.205623388,-0.908796847,0.293115586,0.121757627,-0.095175624,-0.61340332,-0.227870718,-0.905240178,0.380064369,-0.207100659,-1.312162514
2020/9/17,35:08.2,1.60031E+12,2435.211,2020-09-17 11:35:08.171147+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310108171,0.272790313,0.409058332,-0.870779395,0.050634503,-0.146539032,0.001661897,-2.216060638,-1.418217659,-0.339003056,0.303587532,-0.42142187,-1.122855584
2020/9/17,35:09.2,1.60031E+12,2436.205,2020-09-17 11:35:09.165043+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310109165,-0.29988578,0.489904821,-0.818573058,0.013189852,-0.02609551,-0.026453495,-0.128044367,0.102701329,-0.162487224,-0.351167296,-0.511980578,-0.866677917
2020/9/17,35:10.2,1.60031E+12,2437.199,2020-09-17 11:35:10.158901+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310110159,-0.33019647,0.548016727,-0.768536329,0.005203396,0.012376308,0.003279388,0.032536253,-0.093614921,0.138901368,-0.405796977,-0.57999136,-1.025732588
2020/9/17,35:11.2,1.60031E+12,2438.193,2020-09-17 11:35:11.152900+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310111153,0.164372683,0.556750059,-0.81425494,-0.194472268,-0.057513654,-0.175165892,-1.134746909,-0.182493404,1.687078953,0.199191846,-0.590468252,-0.932308995
2020/9/17,35:12.1,1.60031E+12,2439.187,2020-09-17 11:35:12.146740+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310112147,0.26984179,0.465751827,-0.842769682,0.023248523,-0.117390275,0.037798345,-0.729043663,-1.23749125,1.509067535,0.30987029,-0.484484025,-1.186288653
2020/9/17,35:13.1,1.60031E+12,2440.181,2020-09-17 11:35:13.140879+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310113141,0.44155553,0.265052706,-0.857190669,-0.048469305,-0.049659908,0.029423475,-0.397674263,-0.273923814,0.373210669,0.475669821,-0.268258577,-0.64362162
2020/9/17,35:14.1,1.60031E+12,2441.175,2020-09-17 11:35:14.134952+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310114135,-0.041050032,0.697534382,-0.715374589,-0.11000967,-0.027545333,0.093867958,-0.147308081,0.277172267,-0.442000568,-0.05731971,-0.771950738,-1.026941118
2020/9/17,35:15.1,1.60031E+12,2442.168,2020-09-17 11:35:15.128631+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310115128,0.146204799,0.533856511,-0.83283937,0.000637412,0.088824332,0.015218139,-0.359495699,0.238861293,-0.17084156,0.173779102,-0.563154853,-1.451480245
2020/9/17,35:16.1,1.60031E+12,2443.163,2020-09-17 11:35:16.122970+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310116123,0.507119954,0.280059963,-0.815104783,0.067420542,0.070982933,-0.030670047,-0.492963195,-0.227665544,0.796996832,0.556549477,-0.283856557,-1.009433988
2020/9/17,35:17.1,1.60031E+12,2444.157,2020-09-17 11:35:17.116817+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310117117,0.436562806,0.395162761,-0.808244646,-0.00014028,0.014833927,-0.007241607,0.030703995,0.209182829,-0.28662324,0.495239287,-0.406245014,-0.686901103
2020/9/17,35:18.1,1.60031E+12,2445.15,2020-09-17 11:35:18.110623+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310118110,0.457423419,0.444568127,-0.77014482,0.010857731,0.010926962,0.003880978,-0.102637812,-0.100899205,0.134823009,0.535955158,-0.460692072,-0.973160634
2020/9/17,35:19.1,1.60031E+12,2446.145,2020-09-17 11:35:19.104710+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310119105,0.455769539,0.441088945,-0.773120165,0.008208781,-0.001477957,-0.004801214,0.007406664,0.025650619,-0.027337797,0.532677746,-0.456811675,-0.898593847
2020/9/17,35:20.1,1.60031E+12,2447.139,2020-09-17 11:35:20.098833+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310120099,0.461207032,0.450570464,-0.764378428,0.013360709,-0.008625329,0.00211215,-0.187737003,-0.058056463,0.096840143,0.542897601,-0.467404251,-0.866997734
2020/9/17,35:21.1,1.60031E+12,2448.133,2020-09-17 11:35:21.092771+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310121093,0.582419574,0.672441125,-0.456738919,-0.264505029,0.059881866,0.048657775,-5.018097401,0.573129535,1.198110819,0.905758224,-0.737502051,-0.022359771
2020/9/17,35:22.1,1.60031E+12,2449.126,2020-09-17 11:35:22.086550+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310122086,0.710960448,0.700351536,-0.063587762,-0.086641431,0.003695369,-0.03808856,0.037330206,0.182915345,0.071837254,1.481594438,-0.77588989,0.474266521
2020/9/17,35:23.1,1.60031E+12,2450.12,2020-09-17 11:35:23.080596+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310123080,0.375453532,0.728027463,-0.57359463,0.048673302,-0.036587,-0.045067072,0.030594807,-0.431060642,0.471456379,0.579575948,-0.815440204,0.07436793
2020/9/17,35:24.1,1.60031E+12,2451.114,2020-09-17 11:35:24.074507+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310124074,0.387347102,0.748774111,-0.537865877,-0.007349133,-0.026084244,-0.07428205,-0.556976318,0.643226922,-0.233335301,0.62412551,-0.846210627,0.130428063
2020/9/17,35:25.1,1.60031E+12,2452.108,2020-09-17 11:35:25.068421+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310125068,0.795178592,0.556219459,0.241477162,0.028400064,0.368279159,-0.099533796,0.429194123,0.578943074,-0.907261729,1.865622757,-0.589829668,0.631183516
2020/9/17,35:26.1,1.60031E+12,2453.103,2020-09-17 11:35:26.062846+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310126063,0.53921169,0.516404033,-0.665265143,0.075671911,0.190781415,-0.216894746,0.099128857,-0.813606441,0.470151693,0.681123667,-0.54264639,-0.179516182
2020/9/17,35:27.1,1.60031E+12,2454.096,2020-09-17 11:35:27.056501+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310127056,0.439145416,0.636878788,-0.633669436,-0.015448302,0.015933454,-0.007952273,0.111678742,0.11491885,-0.104419671,0.606025825,-0.69044302,0.221741564
2020/9/17,35:28.1,1.60031E+12,2455.09,2020-09-17 11:35:28.050552+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310128050,0.466615349,0.634745598,-0.615928829,0.052279681,0.01661706,0.054201007,0.250390828,0.487245411,-0.351682305,0.648334668,-0.687679231,-0.320389841
2020/9/17,35:29.0,1.60031E+12,2456.084,2020-09-17 11:35:29.044301+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310129044,0.493454397,0.631607056,-0.597976089,-0.018230826,0.012203455,-0.006171584,-0.192692608,-0.329958886,0.304679036,0.689923513,-0.683624341,-0.130360976
2020/9/17,35:30.0,1.60031E+12,2457.078,2020-09-17 11:35:30.038224+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310130038,0.40113017,0.771518171,-0.493816167,-0.074507713,0.029891431,-0.000306904,-0.431320637,0.165612981,-0.190004796,0.682200115,-0.881224007,0.23811693
2020/9/17,35:31.0,1.60031E+12,2458.072,2020-09-17 11:35:31.032222+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310131032,0.478822142,0.797854125,-0.366276413,0.01779449,0.027465045,0.029510498,0.655068517,0.426618367,-0.164768025,0.917793827,-0.923727265,-0.205300402
2020/9/17,35:32.0,1.60031E+12,2459.066,2020-09-17 11:35:32.026282+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310132026,0.467600316,0.724907339,-0.505825579,-0.040073872,0.018081009,0.013795018,0.510768592,-0.469771504,0.260105819,0.746149527,-0.81089984,-0.27163702
2020/9/17,35:33.0,1.60031E+12,2460.06,2020-09-17 11:35:33.020075+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310133020,0.320540071,0.675177097,-0.664371908,-0.052139819,-0.016780972,-0.040998697,-0.007777083,-0.211150795,0.280631661,0.449526211,-0.741204779,0.03394727
2020/9/17,35:34.0,1.60031E+12,2461.054,2020-09-17 11:35:34.014287+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310134014,0.277457476,0.609299123,-0.742813587,0.003243357,-0.00541991,-0.000791669,0.040260751,0.076847695,-0.137897924,0.357474555,-0.655176402,0.151263733
2020/9/17,35:35.0,1.60031E+12,2462.048,2020-09-17 11:35:35.008073+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310135008,0.258387744,0.868242085,-0.423546493,0.246664882,0.047271192,0.01537478,-0.578801155,0.098318495,0.041098054,0.547781961,-1.051648057,0.209933865
2020/9/17,35:36.0,1.60031E+12,2463.042,2020-09-17 11:35:36.002269+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310136002,0.509653747,0.722961724,-0.466454327,-0.194585383,0.033364952,-0.257479906,2.274909735,0.387775689,0.101797417,0.829626125,-0.808079637,-0.0838028
2020/9/17,35:37.0,1.60031E+12,2464.036,2020-09-17 11:35:36.996211+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310136996,0.371455014,0.598483801,-0.709815741,-0.038511872,0.056850731,0.016884148,0.04321393,-0.677916408,-0.074369021,0.482122696,-0.641607216,-0.227764295
2020/9/17,35:38.0,1.60031E+12,2465.03,2020-09-17 11:35:37.990029+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310137990,0.220781714,0.656308413,-0.721467137,-0.032712936,0.024414361,-0.001874447,-0.196113974,0.068093218,-0.054950714,0.296968441,-0.715915489,0.161689318
2020/9/17,35:39.0,1.60031E+12,2466.024,2020-09-17 11:35:38.984078+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310138984,0.207038701,0.723634303,-0.65839833,0.008542091,-0.0026021,0.005380988,0.039476451,0.316296279,-0.298579425,0.304667765,-0.809053631,-0.187243096
